Site,Date,Honeydew,Vespids,Formicids,Other,SLF,Notes
SLF Artrip South,9/13/2022,moderate,1,3,11,48,"vespids of 3+ species seen in tree canopies landing on wet looking bark; 30+ drosophilid looking flies seen on vegetation < 1 ft from ground; yellowjackets seen on honeydew-soaked leafs, another flying nearby, another crawling on honeydew drenched soil."
SLF Artrip South,9/29/2022,severe,0,2,0,50,
SLF Artrip South,10/19/2022,n/a,,,,,"dead cow in center of plot, only blue vane trap collected"
ToH Sleepy Creek South,7/13/2022,none,0,20,1,n/a,"""other"" category reconstructed from Liam's memory 5hrs later, he had thought only other hymenoptera were to be counted. corrected now."
ToH Sleepy Creek South,7/27/2022,none,0,8,10,n/a,
ToH Sleepy Creek South,8/11/2022,none,0,1,3,1,
ToH Sleepy Creek South,8/26/2022,none,0,13,2,2,ant trail up ToH trunk
ToH Sleepy Creek South,9/14/2022,none,0,0,3,7,
ToH Sleepy Creek South,9/28/2022,none,0,0,3,14,
ToH Sleepy Creek South,10/20/2022,none,0,0,3,13,
ToH Atwood Drive,7/14/2022,none,0,17,1,n/a,
ToH Atwood Drive,7/27/2022,none,0,10,4,n/a,
ToH Atwood Drive,8/12/2022,none,0,17,5,0,
ToH Atwood Drive,8/26/2022,none,0,5,3,2,
ToH Atwood Drive,9/13/2022,none,0,13,3,0,
ToH Atwood Drive,9/28/2022,none,0,54,3,5,multiple ant trails running up and down ToH trunks
ToH Atwood Drive,10/20/2022,none,0,0,0,17,cold
ToH Shannondale Springs South,7/15/2022,none,0,2,1,n/a,
ToH Shannondale Springs South,8/2/2022,none,3,0,3,2,*vespids visiting sparse vegetation under SLF which were 12 and 24 in above ground on small ToH(3.5in DBH)
ToH Shannondale Springs South,8/12/2022,none,0,4,2,1,several vespids on shrubs/understory around base of ToH with 1 SLF
ToH Shannondale Springs South,8/31/2022,none,0,0,0,2,"several vespids forging nearby, one persistently crawling and flying directly under SLF on ToH trunk appearing to sample leaves, water dropplets etc. "
ToH Shannondale Springs South,9/13/2022,none,0,3,2,1,
ToH Shannondale Springs South,9/30/2022,none,0,0,0,0,
ToH Shannondale Springs South,10/21/2022,none,0,0,0,1,
ToH Yankauer,7/15/2022,none,0,9,5,n/a,
ToH Yankauer,8/2/2022,none,0,56,7,n/a,>40 ants from trail running up ToH trunk
ToH Yankauer,8/17/2022,none,0,22,2,0,most ants in trail running up ToH trunk
ToH Yankauer,8/31/2022,none,0,14,5,0,
ToH Yankauer,9/14/2022,none,0,15,4,1,
ToH Yankauer,9/30/2022,mild,0,0,1,6,
ToH Yankauer,10/21/2022,none,0,15,2,22,ants visiting weeping sap near feeding SLF on ToH lower trunk
Negative Sleepy Creek South,7/13/2022,none,0,6,1,n/a,"""other"" category reconstructed from Liam's memory, he had thought only other hymenoptera were to be counted. corrected now."
Negative Sleepy Creek South,7/27/2022,none,0,5,7,n/a,
Negative Sleepy Creek South,8/11/2022,none,0,0,6,0,
Negative Sleepy Creek South,8/26/2022,none,0,5,11,0,
Negative Sleepy Creek South,9/14/2022,none,0,2,1,0,
Negative Sleepy Creek South,9/28/2022,none,0,0,0,0,
Negative Sleepy Creek South,10/20/2022,none,1,0,1,0,"wasp resting on bark, cold"
Negative Sleepy Creek North,7/13/2022,none,0,5,4,n/a,
Negative Sleepy Creek North,7/28/2022,none,0,7,7,n/a,
Negative Sleepy Creek North,8/11/2022,none,0,0,3,0,
Negative Sleepy Creek North,8/26/2022,none,0,0,3,0,
Negative Sleepy Creek North,9/14/2022,none,0,0,2,0,
Negative Sleepy Creek North,9/28/2022,none,0,0,3,0,
Negative Sleepy Creek North,10/20/2022,none,0,0,1,0,
Negative NCTC,7/15/2022,none,0,9,4,n/a,
Negative NCTC,8/3/2022,none,0,1,16,n/a,
Negative NCTC,8/17/2022,none,0,0,5,0,
Negative NCTC,8/31/2022,none,0,1,5,0,
Negative NCTC,9/14/2022,none,0,5,5,0,
Negative NCTC,9/30/2022,none,0,53,4,0,ant trail running up large Carya trunk
Negative NCTC,10/20/2022,none,0,12,3,0,
Negative Shannondale Springs North,7/15/2022,none,0,5,2,n/a,all 5 ants on tree barely outside of plot; observed mistakenly as part of 10 minutes
Negative Shannondale Springs North,8/2/2022,none,0,1,2,0,
Negative Shannondale Springs North,8/12/2022,none,0,6,3,0,
Negative Shannondale Springs North,8/31/2022,none,0,0,4,0,
Negative Shannondale Springs North,9/13/2022,none,0,2,0,0,
Negative Shannondale Springs North,9/30/2022,none,0,0,1,0,
Negative Shannondale Springs North,10/21/2022,none,0,0,0,0,
