alphanumeric ID,Serial number ,Site,Collection Date,Sampling Method,Order,Taxa,Count,Taxa Level,Deterioration,,,,
TAD_bv_hym_13Sep22,114.1,TAD,09/13/22,blue vane,hymenoptera,vespidae,3,family,intact,,,,
TAD_bv_hym_13Sep22,114.2,TAD,09/13/22,blue vane,hymenoptera,chrysididae,1,family,intact,,,,
TAD_bv_hym_13Sep22,114.3,TAD,09/13/22,blue vane,hymenoptera,formicidae,1,family,intact,,,,
SAS_bv_hym_19Oct22,115.1,SAS,10/19/22,blue vane,hymenoptera,formicidae,2,family,intact,,,,
SAS_bv_hym_19Oct22,115.2,SAS,10/19/22,blue vane,hymenoptera,vespidae,2,family,intact,,,,
NSCS_bv_hym_20Oct22,116.1,NSCS,10/20/22,blue vane,hymenoptera,halictidae,1,family,intact,,,,
NSCS_bv_hym_20Oct22,116.2,NSCS,10/20/22,blue vane,hymenoptera,vespidae,1,family,intact,,,,
SAS_bv_hym_28Jul22,117.1,SAS,07/28/22,blue vane,hymenoptera,formicidae,3,family,intact,,,,
SAS_bv_hym_28Jul22,117.2,SAS,07/28/22,blue vane,coleoptera,NA,1,order,intact,,,,
NCTC_bv_hym_20Oct22,118.1,NCTC,10/20/22,blue vane,hymenoptera,halictidae,90,family,intact,,,,
NCTC_bv_hym_20Oct22,118.2,NCTC,10/20/22,blue vane,hymenoptera,vespidae,2,family,intact,,,,
NCTC_bv_hym_20Oct22,118.3,NCTC,10/20/22,blue vane,hymenoptera,formicidae,3,family,intact,,,,
NCTC_bv_hym_20Oct22,118.4,NCTC,10/20/22,blue vane,hymenoptera,ichneumonidae,1,family,intact,,,,
SLSC_bv_hym_19Oct22,119.1,SLSC,10/14/22,blue vane,hymenoptera,halictidae,3,family,intact,,,,
SLSC_bv_hym_19Oct22,119.2,SLSC,10/14/22,blue vane,hymenoptera,vespidae,5,family,intact,,,,
SLSC_bv_hym_19Oct22,119.3,SLSC,10/14/22,blue vane,hymenoptera,halictidae,1,family,intact,,,,
SELS_sn_hym_12Jul22,120.1,SELS,07/12/22,sweep net,hymenoptera,formicidae,73,family,intact,,,,
SELS_sn_hym_12Jul22,120.2,SELS,07/12/22,sweep net,hymenoptera,halictidae,5,family,intact,,,,
TAD_pf_hym_22Jul22,121.1,TAD,07/22/22,pitfall,hymenoptera,formicidae,29,family,intact,,,,
TAD_pf_hym_22Jul22,121.2,TAD,07/22/22,pitfall,hymenoptera,scelionidae,4,family,intact,,,,
NSCN_sn_hym_26Aug22,122.1,NSCN,08/26/22,sweep net,hymenoptera,formicidae,4,family,intact,,,,
SLNS_pf_hym_12Jul22,123.1,SLNS,07/12/22,pitfall,hymenoptera,formicidae,92,family,deteriorating,,,,
SLNS_pf_hym_12Jul22,123.2,SLNS,07/12/22,pitfall,hymenoptera,pompilidae,1,family,intact,,,,
SLNS_pf_hym_12Jul22,123.3,SLNS,07/12/22,pitfall,hymenoptera,bethylidae,2,family,intact,,,,
NSCN_sn_hym_20Oct22,124.1,NSCN,10/20/22,sweep net,hymenoptera,eulophidae,1,family,intact,,,,
SLSC_sn_hym_19Oct22,125.1,SLSC,10/19/22,sweep net,hymenoptera,encyrtidae,1,family,deteriorating,,,,
NCTC_sn_hym_31Aug22,126.1,NCTC,08/31/22,sweep net,hymenoptera,formicidae,1,family,intact,,,,
NCTC_sn_hym_31Aug22,126.2,NCTC,08/31/22,sweep net,hymenoptera,eulophidae,1,family,intact,,,,
NSSN_bv_hym_31Aug22,127.1,NSSN,08/31/22,blue vane,hymenoptera,vespidae,1,family,intact,,,,
NSSN_bv_hym_31Aug22,127.2,NSSN,08/31/22,blue vane,hymenoptera,colletidae,2,family,intact,,,,
NSSN_bv_hym_31Aug22,127.3,NSSN,08/31/22,blue vane,hymenoptera,formicidae,1,family,intact,,,,
NSSN_bv_hym_31Aug22,127.4,NSSN,08/31/22,blue vane,hymenoptera,halictidae,21,family,intact,,,,
SELS_sn_hym_26Jul22,128.1,SELS,07/26/22,sweep net,hymenoptera,formicidae,8,family,intact,,,,
NSSN_bv_hym_31Aug22,127.5,NSSN,08/31/22,blue vane,hymenoptera,halictidae,2,family,intact,,,,
SELS_sn_hym_26Jul22,128.2,SELS,07/26/22,sweep net,hymenoptera,ichneumonidae,1,family,intact,,,,
NCTC_bv_hym_30Sep22,113.2,NCTC,09/30/22,blue vane,hymenoptera,eupelmidae,1,family,deteriorating,,,,
TSCS_bv_hym_28Sep22,129.1,TSCS,09/28/22,blue vane,hymenoptera,chrysididae,1,family,intact,,,,
TSCS_bv_hym_28Sep22,129.2,TSCS,09/28/22,blue vane,hymenoptera,vespidae,5,family,intact,,,,
SELS_bv_hym_19Oct22,130.1,SELS,10/19/22,blue vane,hymenoptera,vespidae,1,family,intact,,,,
TAD_bv_hym_20Oct22,131.1,TAD,10/20/22,blue vane,hymenoptera,formicidae,4,family,intact,,,,
TSSS_bv_hym_15Jul22,132.1,TSSS,07/15/22,blue vane,hymenoptera,crabronidae,1,family,intact ,,,,
TY_bv_hym_2Aug22,133.1,TY,08/02/22,blue vane,hymenoptera,halictidae,1,family,intact,,,,
TY_bv_hym_2Aug22,133.2,TY,08/02/22,blue vane,hymenoptera,pompilidae,1,family,intact,,,,
NSSN_bv_hym_2Aug22,134.1,NSSN,08/02/22,blue vane,hymenoptera,crabronidae,1,family,intact,,,,
NSSN_bv_hym_12Aug22,135.1,NSSN,08/12/22,blue vane,hymenoptera,crabronidae,1,family,intact,,,,
NSSN_bv_hym_12Aug22,135.2,NSSN,08/12/22,blue vane,hymenoptera,andrenidae,3,family,deteriorating,,,,
NSSN_bv_hym_2Aug22,134.3,NSSN,08/02/22,blue vane,hymenoptera,andrenidae,3,family,intact,,,,
NSSN_bv_hym_2Aug22,134.2,NSSN,08/02/22,blue vane,hymenoptera,formicidae,1,family,intact,,,,
NCTC_sn_hym_21Aug22,136.1,NCTC,08/31/22,sweep net,hymenoptera,braconidae,1,family,intact,,,,
NCTC_sn_hym_21Aug22,136.2,NCTC,08/31/22,sweep net,hymenoptera,proctotrupidae,1,family,intact,,,,
TSCS_sn_hym_11Aug22,137.1,TSCS,08/11/22,sweep net,hymenoptera,braconidae,2,family,intact,,,,
TSCS_sn_hym_11Aug22,137.2,TSCS,08/11/22,sweep net,hymenoptera,formicidae,1,family,intact,,,,
TSCS_sn_hym_11Aug22,137.3,TSCS,08/11/22,sweep net,hymenoptera,eurytomidae,1,family,intact,,,,
SLSC_bv_hym_26Jul22,138.1,SLSC,07/26/22,blue vane,hymenoptera,formicidae,5,family,intact,,,,
SLSC_bv_hym_26Jul22,138.2,SLSC,07/26/22,blue vane,hymenoptera,chrysididae,2,family,intact,,,,
SLSC_bv_hym_26Jul22,138.3,SLSC,07/26/22,blue vane,hymenoptera,halictidae,2,family,intact,,,,
TSCS_bv_hym_15Jul22,139.1,TSCS,07/15/22,blue vane,hymenoptera,apidae,1,family,intact,,,,
TSCS_bv_hym_15Jul22,139.2,TSCS,07/15/22,blue vane,hymenoptera,formicidae,1,family,intact,,,,
TAD_sn_hym_28Sep22,140.1,TAD,09/28/22,sweep net,hymenoptera,formicidae,5,family,intact,,,,
SELS_bv_hym_12Jul22,141.1,SELS,07/12/22,blue vane,hymenoptera,halictidae,4,family,intact,,,,
TAD_sn_hym_28Sep22,140.2,TAD,09/28/22,sweep net,hymenoptera,eurytomidae,1,family,intact,,,,
SELS_bv_hym_12Jul22,141.2,SELS,07/12/22,blue vane,hymenoptera,formicidae,8,family,deteriorating,,,,
TAD_sn_hym_28Sep22,140.3,TAD,09/28/22,sweep net,hymenoptera,braconidae,1,family,intact,,,,
SELS_bv_hym_12Jul22,141.3,SELS,07/12/22,blue vane,diptera,NA,1,order,intact,,,,
SELS_bv_hym_12Jul22,141.4,SELS,07/12/22,blue vane,hymenoptera,pompilidae,2,family,intact,,,,
TSCS_bv_hym_7Jul22,142.1,TSCS,07/13/22,blue vane,hymenoptera,ichneumonidae,1,family,intact,,,,
TY_sn_hym_14Sep22,143.1,TY,09/14/22,sweep net,hymenoptera,formicidae,2,family,intact,,,,
TY_sn_hym_14Sep22,143.2,TY,09/14/22,sweep net,hymenoptera,vespidae,1,family,intact,,,,
NCTC_sn_hym_14Sep22,144.1,NCTC,09/14/22,sweep net,hymenoptera,formicidae,3,family,intact,,,,
NCTC_sn_hym_14Sep22,144.2,NCTC,09/14/22,sweep net,hymenoptera,braconidae,1,family,intact,,,,
NCTC_sn_hym_14Sep22,144.3,NCTC,09/14/22,sweep net,hymenoptera,torymidae,1,family,intact,,,,
NSSN_bv_hym_15July22,145.1,NSSN,07/15/22,blue vane,hymenoptera,formicidae,2,family,deteriorating,,,,
NCTC_sn_hym_14Sep22,144.4,NCTC,09/14/22,sweep net,hymenoptera,ceraphronidae,2,family,intact,,,,
NSSN_bv_hym_15July22,145.2,NSSN,07/15/22,blue vane,hymenoptera,halictidae,2,family,deteriorating,,,,
NCTC_sn_hym_14Sep22,144.5,NCTC,09/14/22,sweep net,hymenoptera,platygastridae,1,family,intact,,,,
NSSN_bv_hym_15July22,145.3,NSSN,07/15/22,blue vane,hymenoptera,halictidae,3,family,intact,,,,
NSSN_bv_hym_15July22,145.4,NSSN,07/15/22,blue vane,hymenoptera,colletidae,6,family,intact,,,,
NSSN_bv_hym_15July22,145.5,NSSN,07/15/22,blue vane,thysanoptera,NA,1,order,deteriorating,,,,
NSCN_sn_hym_28Sep22,146.1,NSCN,09/28/22,sweep net,hymenoptera,formicidae,1,family,intact,,,,
NCTC_sn_hym_14Sep22,144.6,NCTC,09/14/22,sweep net,coleoptera,NA,1,order,intact,,,,
NSCN_sn_hym_28Sep22,146.2,NSCN,09/28/22,sweep net,hymenoptera,braconidae,1,family,intact,,,,
NSCN_sn_hym_28Sep22,146.3,NSCN,09/28/22,sweep net,hymenoptera,eulophidae,1,family,intact,,,,
NSCN_sn_hym_28Sep22,146.4,NSCN,09/28/22,sweep net,hymenoptera,ceraphronidae,2,family,deteriorating,,,,
NCTC_bv_hym_20Oct22,118.5,NCTC,10/20/22,blue vane,hymenoptera,halictidae,44,family,intact,,,,
TAD_bv_hym_28Sep22,148.1,TAD,09/28/22,blue vane,hymenoptera,vespidae,19,family,intact,,,,
TAD_bv_hym_28Sep22,148.2,TAD,09/28/22,blue vane,hymenoptera,halictidae,8,family,intact,,,,
NCTC_bv_hym_14Sep22,149.1,NCTC,09/14/22,blue vane,hymenoptera,vespidae,2,family,intact,,,,
SLSC_bv_hym_26Jul22,150.1,SLSC,07/26/22,blue vane,hymenoptera,pompilidae,1,family,intact,,,,
NCTC_bv_hym_14Sep22,149.2,NCTC,09/14/22,blue vane,hymenoptera,sphecidae,1,family,intact,,,,
SLSC_bv_hym_26Jul22,150.2,SLSC,07/26/22,blue vane,hymenoptera,andrenidae,1,family,intact,,,,
NCTC_bv_hym_14Sep22,149.3,NCTC,09/14/22,blue vane,hymenoptera,formicidae,2,family,deteriorating,,,,
NCTC_bv_hym_14Sep22,149.4,NCTC,09/14/22,blue vane,hymenoptera,encyrtidae,2,family,deteriorating,,,,
SLSC_bv_hym_26Jul22,150.3,SLSC,07/26/22,blue vane,hymenoptera,encyrtidae,4,family,deteriorating,,,,
SLSC_bv_hym_26Jul22,150.4,SLSC,07/26/22,blue vane,thysanoptera,NA,2,order,intact,,,,
SLSC_bv_hym_26Jul22,150.5,SLSC,07/26/22,blue vane,NA,collembola ,1,class,intact,,,,
TAD_sn_hym_27Jul22,151.1,TAD,07/27/22,sweep net,hymenoptera,formicidae,1,family,intact,,,,
TSSS_bv_hym_15Jul22,132.2,TSSS,07/15/22,blue vane,hymenoptera,encyrtidae,1,family,intact,,,,
TAD_sn_hym_27Jul22,151.2,TAD,07/27/22,sweep net,hymenoptera,braconidae,8,family,intact,,,,
TSSS_sn_hym_15Jul22,152.1,TSSS,07/15/22,sweep net,hymenoptera,ichneumonidae,2,family,intact,,,,
TAD_sn_hym_27Jul22,151.3,TAD,07/27/22,sweep net,hymenoptera,ichneumonidae,1,family,intact,,,,
TAD_sn_hym_27Jul22,151.4,TAD,07/27/22,sweep net,hymenoptera,figitidae,1,family,deteriorating,,,,
TSSS_sn_hym_15Jul22,152.2,TSSS,07/15/22,sweep net,hymenoptera,braconidae,5,family,intact,,,,
TSSS_sn_hym_15Jul22,152.3,TSSS,07/15/22,sweep net,hymenoptera,formicidae,1,family,intact,,,,
TAD_sn_hym_27Jul22,151.5,TAD,07/27/22,sweep net,hymenoptera,ceraphronidae,2,family,intact,,,,
TSSS_sn_hym_15Jul22,152.4,TSSS,07/15/22,sweep net,hymenoptera,chrysolampidae,2,family,intact,,,,
TAD_sn_hym_27Jul22,151.7,TAD,07/27/22,sweep net,hymenoptera,mymaridae,1,family,intact,,,,
TAD_bv_hym_28Sep22,148.3,TAD,09/28/22,blue vane,hymenoptera,formicidae,2,family,intact,,,,
TSCS_pf_hym_13Jul22,153.1,TSCS,07/13/22,pitfall,hymenoptera,formicidae,28,family,deteriorating,,,,
SLSC_bv_hym_29Sep22,154.1,SLSC,09/29/22,blue vane,hymenoptera,vespidae,24,family,intact,,,,
SLSC_bv_hym_29Sep22,154.2,SLSC,09/29/22,blue vane,hymenoptera,pompilidae,1,family,intact,,,,
TSSS_sn_hym_15Jul22,152.5,TSSS,07/15/22,sweep net,hymenoptera,figitidae,1,family,intact,,,,
SLSC_bv_hym_29Sep22,154.3,SLSC,09/29/22,blue vane,diptera,NA,4,order,intact,,,,
TSSS_sn_hym_15Jul22,152.6,TSSS,07/15/22,sweep net,hymenoptera,diapriidae,2,family,intact,,,,
SLSC_bv_hym_29Sep22,154.4,SLSC,09/29/22,blue vane,hymenoptera,encyrtidae,1,family,intact,,,,
TSSS_sn_hym_15Jul22,152.7,TSSS,07/15/22,sweep net,hymenoptera,platygastridae,1,family,intact,,,,
TSSS_sn_hym_15Jul22,152.8,TSSS,07/15/22,sweep net,hymenoptera,ceraphronidae,1,family,intact,,,,
TSSS_sn_hym_15Jul22,152.9,TSSS,07/15/22,sweep net,hymenoptera,mymaridae,3,family,intact,,,,
TSCS_pf_hym_13Jul22,153.2,TSCS,07/13/22,pitfall,hymenoptera,platygastroidea,3,family,deteriorating,,,,
TY_sn_hym_14Sep22,143.3,TY,09/14/22,sweep net,hymenoptera,figitidae,1,family,intact,,,,
TSCS_pf_hym_13Jul22,153.3,TSCS,07/13/22,pitfall,hymenoptera,scelionidae,1,family,deteriorating,,,,
TY_sn_hym_14Sep22,143.4,TY,09/14/22,sweep net,hymenoptera,diapriidae,1,family,intact,,,,
TY_sn_hym_14Sep22,143.5,TY,09/14/22,sweep net,hymenoptera,platygastridae,1,family,deteriorating,,,,
TY_sn_hym_14Sep22,143.6,TY,09/14/22,sweep net,hymenoptera,ceraphronidae,1,family,intact,,,,
TSSS_bv_hym_13Sep22,155.1,TSSS,09/13/22,blue vane,hymenoptera,mymaridae,1,family,deteriorating,,,,
NSSN_pf_hym_15Jul22,156.1,NSSN,07/15/22,pitfall,hymenoptera,formicidae,80,family,deteriorating,,,,
NSSN_sn_hym_15Jul22,157.1,NSSN,07/15/22,sweep net,hymenoptera,formicidae,61,family,deteriorating,,,,
NSSN_pf_hym_15Jul22,156.2,NSSN,07/15/22,,ixodida,NA,1,order,deteriorating,,,,
NSSN_pf_hym_15Jul22,156.3,NSSN,07/15/22,pitfall,diptera,NA,1,order,intact,,,,
NSSN_sn_hym_15Jul22,157.2,NSSN,07/15/22,sweep net,hymenoptera,pteromalidae,5,family,intact,,,,
NSSN_sn_hym_15Jul22,157.3,NSSN,07/15/22,sweep net,hymenoptera,scelionidae,1,family,intact,,,,
NSSN_pf_hym_15Jul22,156.4,NSSN,07/15/22,pitfall,hymenoptera,scelionidae,16,family,intact,,,,
NSSN_pf_hym_15Jul22,156.5,NSSN,07/15/22,pitfall,hymenoptera,ceraphronidae,1,family,intact,,,,
NSSN_pf_hym_15Jul22,156.7,NSSN,07/15/22,pitfall,hymenoptera,diapriidae,4,family,intact,,,,
NSSN_pf_hym_15Jul22,156.6,NSSN,07/15/22,pitfall,hymenoptera,scelionidae,2,family,deteriorating,,,,
NSSN_sn_hym_15Jul22,157.4,NSSN,07/15/22,sweep net,hymenoptera,braconidae,22,family,intact,,,,
NSSN_sn_hym_15Jul22,157.5,NSSN,07/15/22,sweep net,hymenoptera,diapriidae,2,family,intact,,,,
NSSN_sn_hym_15Jul22,157.6,NSSN,07/15/22,sweep net,hymenoptera,figitidae,4,family,intact,,,,
SLSC_sn_hym_29Sep22,158.1,SLSC,09/29/22,sweep net,hymenoptera,pompilidae,1,family,intact,,,,
SLSC_sn_hym_29Sep22,158.2,SLSC,09/29/22,sweep net,hymenoptera,formicidae,1,family,intact,,,,
SLSC_sn_hym_29Sep22,158.3,SLSC,09/29/22,sweep net,hymenoptera,eupelmidae,1,family,deteriorating,,,,
NCTC_pf_hym_15Jul22,159.1,NCTC,07/15/22,pitfall,ixodida,NA,1,order,intact,,,,
NSSN_sn_hym_15Jul22,157.8,NSSN,07/15/22,sweep net,hymenoptera,platygastridae,14,family,intact,,,,
NCTC_pf_hym_15Jul22,159.2,NCTC,07/15/22,pitfall,NA,NA,1,NA,intact,,,,
NSSN_sn_hym_15Jul22,157.9,NSSN,07/15/22,sweep net,hymenoptera,encyrtidae,1,family,intact,,,,
NCTC_pf_hym_15Jul22,159.3,NCTC,07/15/22,pitfall,hymenoptera,formicidae,74,family,intact,,,,
NCTC_pf_hym_15Jul22,159.4,NCTC,07/15/22,pitfall,hymenoptera,vespidae,1,family,intact,,,,
SLNS_bv_hym_29Sep22,160.1,SLNS,09/29/22,blue vane,hymenoptera,halictidae,1,family,intact,,,,
SLNS_bv_hym_29Sep22,160.2,SLNS,09/29/22,blue vane,hymenoptera,encyrtidae,1,family,intact,,,,
NSCN_sn_hym_27Jul22,161.1,NSCN,07/27/22,sweep net,hymenoptera,halictidae,1,family,intact,,,,
NSCN_sn_hym_27Jul22,161.2,NSCN,07/27/22,sweep net,hymenoptera,formicidae,1,family,intact,,,,
SLNS_sn_hym_29Sep22,162.1,SLNS,09/29/22,sweep net,hymenoptera,formicidae,1,family,intact,,,,
SLNS_sn_hym_29Sep22,162.2,SLNS,09/29/22,sweep net,hymenoptera,encyrtidae,1,family,intact,,,,
SLNS_sn_hym_29Sep22,162.3,SLNS,09/29/22,sweep net,hymenoptera,aphelinidae,1,family,intact,,,,
SLNS_sn_hym_29Sep22,162.4,SLNS,09/29/22,sweep net,hymenoptera,pteromalidae,1,family,intact,,,,
SLNS_sn_hym_29Sep22,162.5,SLNS,09/29/22,sweep net,hymenoptera,bethylidae,1,family,intact,,,,
SLNS_sn_hym_29Sep22,162.6,SLNS,09/29/22,sweep net,hymenoptera,braconidae,2,family,intact,,,,
SAS_sn_hym_28Jul22,163.1,SAS,07/28/22,sweep net,hymenoptera,formicidae,10,family,intact,,,,
SAS_sn_hym_28Jul22,163.2,SAS,07/28/22,sweep net,hymenoptera,braconidae,4,family,intact,,,,
SAS_sn_hym_28Jul22,163.3,SAS,07/28/22,sweep net,hymenoptera,ceraphronidae,5,family,intact,,,,
SAS_sn_hym_28Jul22,163.4,SAS,07/28/22,sweep net,hymenoptera,eulophidae,4,family,intact,,,,
SAS_sn_hym_28Jul22,163.5,SAS,07/28/22,sweep net,hymenoptera,chrysolampidae,4,family,intact,,,,
SAS_sn_hym_28Jul22,163.6,SAS,07/28/22,sweep net,hymenoptera,heloridae,1,family,intact,,,,I think heloridae too because the antennae are small and do not seem to be on a shelf
NSCN_bv_hym_11Aug22,164.1,NSCN,08/11/22,blue vane,hymenoptera,halictidae,3,family,intact,,,,
SAS_sn_hym_28Jul22,163.7,SAS,07/28/22,sweep net,hymenoptera,eupelmidae,2,family,deteriorating,,,,
NSCN_bv_hym_11Aug22,164.2,NSCN,08/11/22,blue vane,hymenoptera,halictidae,3,family,intact,,,,
NSCN_bv_hym_11Aug22,164.3,NSCN,08/11/22,blue vane,hymenoptera,vespidae,1,family,intact,,,,
NSCN_bv_hym_11Aug22,164.4,NSCN,08/11/22,blue vane,hymenoptera,pompilidae,1,family,intact,,,,
NSCN_bv_hym_11Aug22,164.5,NSCN,08/11/22,blue vane,hymenoptera,encyrtidae,2,family,intact,,,,
SAS_sn_hym_28Jul22,163.8,SAS,07/28/22,sweep net,hymenoptera,mymaridae,1,family,deteriorating,,,,
NSCN_bv_hym_11Aug22,164.6,NSCN,08/11/22,blue vane,hymenoptera,formicidae,2,family,intact,,,,
NSCN_bv_hym_11Aug22,164.7,NSCN,08/11/22,blue vane,hymenoptera,scelionidae,6,family,intact,,,,
NSCN_bv_hym_11Aug22,164.8,NSCN,08/11/22,blue vane,hymenoptera,encyrtidae,5,family,intact,,,,
TAD_bv_hym_28Sep22,148.4,TAD,09/28/22,blue vane,hymenoptera,megaspilidae,1,family,intact,,,,
TAD_bv_hym_28Sep22,148.5,TAD,09/28/22,blue vane,hymenoptera,encyrtidae,1,family,intact,,,,
SELS_sn_hym_9Aug22,165.1,SELS,08/09/22,sweep net,hymenoptera,formicidae,17,family,deteriorating,,,,
SELS_sn_hym_9Aug22,165.2,SELS,08/09/22,sweep net,hymenoptera,platygastridae,1,family,intact,,,,
SELS_sn_hym_9Aug22,165.3,SELS,08/09/22,sweep net,hymenoptera,braconidae,1,family,intact,,,,
SELS_sn_hym_9Aug22,165.4,SELS,08/09/22,sweep net,hymenoptera,platygastridae,2,family,intact,,,,
SELS_sn_hym_9Aug22,165.5,SELS,08/09/22,sweep net,hymenoptera,ceraphronidae,3,family,intact,,,,
SELS_sn_hym_9Aug22,165.6,SELS,08/09/22,sweep net,hymenoptera,aphelinidae,1,family,intact,,,,
SLSC_sn_hym_26Jul22,166.1,SLSC,07/26/22,sweep net,hymenoptera,formicidae,5,family,intact,,,,
SLSC_sn_hym_26Jul22,166.2,SLSC,07/26/22,sweep net,hymenoptera,pteromalidae,1,family,intact,,,,
SLSC_sn_hym_26Jul22,166.3,SLSC,07/26/22,sweep net,hymenoptera,scelionidae ,5,family,intact,,,,
SLSC_sn_hym_26Jul22,166.4,SLSC,07/26/22,sweep net,hymenoptera,ichneumonidae,2,family,intact,,,,
SLSC_sn_hym_26Jul22,166.5,SLSC,07/26/22,sweep net,hymenoptera,platygastridae,2,family,intact,,,,
SLSC_bv_hym_12Jul22,167.1,SLSC,07/12/22,blue vane,hymenoptera,crabronidae,1,family,intact,,,,
SLSC_bv_hym_12Jul22,167.2,SLSC,07/12/22,blue vane,hymenoptera,formicidae,4,family,intact,,,,
SLSC_bv_hym_12Jul22,167.3,SLSC,07/12/22,blue vane,hymenoptera,halictidae,1,family,intact,,,,
SLSC_bv_hym_12Jul22,167.4,SLSC,07/12/22,blue vane,hymenoptera,encyrtidae,1,family,intact,,,,
SLSC_sn_hym_26Jul22,166.6,SLSC,07/26/22,sweep net,hymenoptera,braconidae,1,family,intact,,,,
SLSC_sn_hym_26Jul22,166.7,SLSC,07/26/22,sweep net,hymenoptera,proctotrupidae,1,family,intact,,,,
SAS_sn_hym_14Jul22,168.1,SAS,07/14/22,sweep net,hymenoptera,braconidae,11,family,intact,,,,
SAS_sn_hym_14Jul22,168.2,SAS,07/14/22,sweep net,hymenoptera,platygastridae,1,family,intact,,,,
SAS_sn_hym_14Jul22,168.3,SAS,07/14/22,sweep net,hymenoptera,eulophidae,3,family,intact,,,,
SAS_sn_hym_14Jul22,168.4,SAS,07/14/22,sweep net,hymenoptera,diapriidae,2,family,intact,,,,
SAS_sn_hym_14Jul22,168.5,SAS,07/14/22,sweep net,hymenoptera,eulophidae,3,family,deteriorating,,,,
SAS_sn_hym_14Jul22,168.6,SAS,07/14/22,sweep net,hymenoptera,figitidae,1,family,intact,,,,
SAS_sn_hym_14Jul22,168.7,SAS,07/14/22,sweep net,hymenoptera,scelionidae,1,family,intact,,,,
SAS_sn_hym_14Jul22,168.8,SAS,07/14/22,sweep net,hymenoptera,encyrtidae,2,family,intact,,,,
SAS_sn_hym_14Jul22,168.9,SAS,07/14/22,sweep net,hymenoptera,formicidae,4,family,deteriorating,,,,
SLSC_pf_hym_26Jul22,169.1,SLSC,07/26/22,pitfall,hymenoptera,formicidae,28,family,intact,,,,
