Site,Date,Honeydew,Honeydew notes,blacknymphs,rednymphs,adults,Notes
ToH Sleepy Creek South,7/13/2022,none,,0,2,0,unexpected! How did they get here?
ToH Sleepy Creek South,7/27/2022,none,,0,0,0,"1 exuvia seen, one 4th instar seen out of plot"
ToH Sleepy Creek South,8/11/2022,none,,0,0,1,2 more adults later seen on understory vegetation
ToH Sleepy Creek South,8/26/2022,none,,0,0,7,
ToH Sleepy Creek South,9/14/2022,none,,0,0,7,9+ adults just outside of plot
ToH Sleepy Creek South,9/28/2022,none,,0,0,18,6 more just outside plot
ToH Sleepy Creek South,10/20/2022,none,,0,0,13,
ToH Atwood Drive,7/14/2022,none,,0,0,0,
ToH Atwood Drive,7/27/2022,none,,0,0,2,
ToH Atwood Drive,8/12/2022,none,,0,0,0,
ToH Atwood Drive,8/26/2022,none,,0,0,3,
ToH Atwood Drive,9/13/2022,none,,0,0,0,
ToH Atwood Drive,9/28/2022,none,,0,0,7,
ToH Atwood Drive,10/20/2022,none,"maybe some faint spotting of honeydew on some leaves, but most vegetation already dropped",0,0,23,
ToH Shannondale Springs South,7/15/2022,none,,0,0,0,two 4th instars found on ToH nearby (~20m from plot)
ToH Shannondale Springs South,8/2/2022,none,,0,0,0,two adults later found during trunk survey
ToH Shannondale Springs South,8/12/2022,none,,0,0,1,
ToH Shannondale Springs South,8/31/2022,none,,0,0,1,
ToH Shannondale Springs South,9/13/2022,none,,0,0,1,
ToH Shannondale Springs South,9/30/2022,none,,0,0,1,
ToH Shannondale Springs South,10/21/2022,none,,0,0,1,"two dead in plot, 10+ live just outside plot on ToH"
ToH Yankauer,7/15/2022,none,,0,0,0,
ToH Yankauer,8/2/2022,none,,0,0,0,
ToH Yankauer,8/17/2022,none,,0,0,0,
ToH Yankauer,8/31/2022,none,,0,0,1,
ToH Yankauer,9/14/2022,none,,0,0,1,
ToH Yankauer,9/30/2022,mild,dried droplets visible on understory leaves (pawpaws),0,0,18,
ToH Yankauer,10/21/2022,none,very mild. Some minor stickiness visible on few remaining leaves,0,0,45,dramatic increase in adults across surrounding area and plot
Negative Sleepy Creek South,7/13/2022,none,,0,0,0,
Negative Sleepy Creek South,7/27/2022,none,,0,0,0,
Negative Sleepy Creek South,8/11/2022,none,,0,0,0,"counts not recorded, zero's assumed"
Negative Sleepy Creek South,8/26/2022,none,,0,0,0,
Negative Sleepy Creek South,9/14/2022,none,,0,0,0,
Negative Sleepy Creek South,9/28/2022,none,,0,0,0,
Negative Sleepy Creek South,10/20/2022,none,,0,0,0,
Negative Sleepy Creek North,7/13/2022,none,,0,0,0,one 4th instar observed 10m outside plot on small ToH sapling
Negative Sleepy Creek North,7/28/2022,none,,0,0,0,
Negative Sleepy Creek North,8/11/2022,none,,0,0,0,"remains of 1 adult seen, could be from site or possible brought in with gear"
Negative Sleepy Creek North,8/26/2022,none,,0,0,2,on wild grape
Negative Sleepy Creek North,9/14/2022,none,,0,0,3,all on wild grape
Negative Sleepy Creek North,9/28/2022,none,,0,0,2,
Negative Sleepy Creek North,10/20/2022,none,,0,0,0,
Negative NCTC,7/15/2022,none,,0,0,0,
Negative NCTC,8/3/2022,none,,0,0,0,
Negative NCTC,8/17/2022,none,,0,0,0,
Negative NCTC,8/31/2022,none,,0,0,0,
Negative NCTC,9/14/2022,none,,0,0,0,
Negative NCTC,9/30/2022,none,,0,0,0,
Negative NCTC,10/20/2022,none,,0,0,0,
Negative Shannondale Springs North,7/15/2022,none,,0,0,0,
Negative Shannondale Springs North,8/2/2022,none,,0,0,0,
Negative Shannondale Springs North,8/12/2022,none,,0,0,0,
Negative Shannondale Springs North,8/31/2022,none,,0,0,0,
Negative Shannondale Springs North,9/13/2022,none,,0,0,0,
Negative Shannondale Springs North,9/30/2022,none,,0,0,0,
Negative Shannondale Springs North,10/21/2022,none,,0,0,1,"on grapevine, no ToH in area, modestly swollen yellow abdomen, female, on skinnier side with some yellow showing"
